epoch,0_jacc,0_val_jacc,10_jacc,10_val_jacc,1_jacc,1_val_jacc,2_jacc,2_val_jacc,3_jacc,3_val_jacc,4_jacc,4_val_jacc,5_jacc,5_val_jacc,6_jacc,6_val_jacc,7_jacc,7_val_jacc,8_jacc,8_val_jacc,9_jacc,9_val_jacc,I0,I1,I10,I2,I3,I4,I5,I6,I7,I8,I9,U0,U1,U10,U2,U3,U4,U5,U6,U7,U8,U9,acc,jaccard,loss,val_I0,val_I1,val_I10,val_I2,val_I3,val_I4,val_I5,val_I6,val_I7,val_I8,val_I9,val_U0,val_U1,val_U10,val_U2,val_U3,val_U4,val_U5,val_U6,val_U7,val_U8,val_U9,val_acc,val_jaccard,val_loss
0,0.072507602105564908,0.073148635706758475,0.0034175584066334246,0.0,0.17545780390211568,0.21755509033402137,0.0054473139616307538,0.0,0.15844680710807646,0.17059238897208751,0.014441369314600773,0.0,0.045652346511707034,0.009217815807208516,0.0048085142759446056,0.0,0.017197594118957452,1.4151484089722298e-05,0.0392841892084244,0.0015400083011850971,0.0059595745652832981,0.0,932.88709677419354,4297.7634408602153,2.4596774193548385,8.42741935483871,3624.7956989247314,51.801075268817208,389.51612903225805,6.653225806451613,46.693548387096776,293.05107526881721,7.71505376344086,12866.059139784946,24494.569892473119,719.7177419354839,1547.0779569892472,22877.051075268817,3586.9919354838707,8532.2258064516136,1383.6344086021506,2715.1209677419356,7459.7715053763441,1294.5645161290322,nan,0.049329152134448974,nan,23997.612612612611,182989.08108108109,0.0,0.0,102668.97297297297,0.0,1989.6936936936936,0.0,0.54054054054054057,41.081081081081081,0.0,328066.44144144142,841116.06306306308,27459.306306306305,6947.7837837837842,601837.94594594592,112500.17117117117,215853.05405405405,11032.279279279279,38196.738738738735,26675.882882882885,8119.2972972972975,0.24633664698214144,0.042915280964122789,2.065234817900099
1,0.083381876749671763,0.003783439919499346,0.0,0.0,0.26866501745448795,0.26468907137108888,0.0,0.0,0.078197171544236985,0.0038828604047176332,0.0,0.0,0.0042472806291901774,0.0,0.0,0.0,0.0,0.0,0.0010177812369035501,0.0,0.0,0.0,1129.3413978494623,9856.0483870967746,0.0,0.0,1178.6962365591398,0.0,27.741935483870968,0.0,0.0,5.940860215053763,0.0,13544.206989247312,36685.268817204298,179.89247311827958,737.86290322580646,15073.387096774193,2059.2204301075267,6531.6935483870966,886.51881720430106,920.94086021505382,5837.0698924731187,826.51881720430106,nan,0.039591738874044581,nan,450.34234234234236,332272.2702702703,0.0,0.0,1487.4414414414414,0.0,0.0,0.0,0.0,0.0,0.0,119029.86486486487,1255330.5225225226,27459.306306306305,6947.7837837837842,383078.78378378379,112498.0990990991,207922.39639639639,11032.279279279279,38194.666666666664,25668.891891891893,8119.2972972972975,0.26388400350068064,0.024759579245027807,1.997313633695379
2,0.028398221540704996,0.12879178868448821,0.0,0.0,0.29066530273503782,0.22755961810016354,0.0,0.0,0.038630879244986635,0.1298130037998482,5.8321960551025888e-06,0.0,0.00029793407699652843,0.0055422955187601677,0.0,0.0,0.0,0.0,0.00075946124002635232,0.0022090260831103292,0.0,0.0,203.11827956989248,15482.822580645161,0.0,0.0,575.14784946236557,0.013440860215053764,2.163978494623656,0.0,0.0,4.4623655913978491,0.0,7152.5,53266.841397849465,302.95698924731181,867.52688172043008,14888.293010752688,2304.5967741935483,7263.2795698924729,982.20430107526886,1021.0483870967741,5875.6989247311831,696.81451612903231,nan,0.032614330093982492,nan,21031.477477477478,233665.31531531533,0.0,0.0,73357.126126126124,0.0,1176.5495495495495,0.0,0.0,62.810810810810814,0.0,163298.27927927929,1026831.1981981982,27459.306306306305,6947.7837837837842,565098.44144144142,112498.0990990991,212285.60360360361,11032.279279279279,38194.666666666664,28433.711711711712,8119.2972972972975,0.26016149609475525,0.044901430198760944,2.0024973916577862
3,0.10588087976552037,0.20139539718023536,0.0,0.0,0.28103427862688501,0.26803793969715373,0.0,0.0,0.11999371000713671,0.25365882036271831,6.3350078870848192e-06,0.0,0.001272085869559763,0.0013185856535390141,0.0,0.0,0.0,0.0,0.0014407268042984508,0.0,0.0,0.0,670.53763440860212,11198.373655913978,0.0,0.0,1600.0,0.013440860215053764,6.814516129032258,0.0,0.0,6.854838709677419,0.0,6332.9435483870966,39847.002688172041,140.24193548387098,618.89784946236557,13334.032258064517,2121.6801075268818,5356.9623655913974,824.74462365591398,970.24193548387098,4757.9032258064517,486.89516129032256,nan,0.046329819643753399,nan,35122.24324324324,246549.46846846846,0.0,0.0,144676.20720720722,0.0,274.7117117117117,0.0,0.0,0.0,0.0,174394.46846846846,919830.48648648651,27459.306306306305,6947.7837837837842,570357.48648648651,112498.0990990991,208338.16216216216,11032.279279279279,38194.666666666664,25697.279279279279,8119.2972972972975,0.33720342962591499,0.065855522081240583,1.8748524683015841
4,0.26354852397027345,0.28123795391221462,0.0,0.0,0.28633006726422672,0.20916939227586065,0.00014939811235485041,0.0,0.27192996680001741,0.41348092773431538,0.000996362300776381,0.0005303076389461752,0.0040144238951324357,0.018599316959550742,1.4284898005828239e-05,0.0,0.0,0.0,0.00079322499322153196,0.0020119233158588817,0.00011854427628719327,0.0,2270.7822580645161,10188.274193548386,0.0,0.10752688172043011,5680.1827956989246,2.7419354838709675,26.948924731182796,0.013440860215053764,0.0,3.696236559139785,0.080645161290322578,8616.1827956989255,35582.271505376346,182.23118279569891,719.73387096774195,20888.403225806451,2751.9462365591398,6713.0241935483873,940.91397849462362,885.71236559139788,4659.7580645161288,680.29569892473114,nan,0.075263163319117796,nan,72150.378378378373,116864.27927927928,0.0,0.0,314220.34234234237,60.0,3964.5675675675675,0.0,0.0,58.207207207207205,0.0,256545.66666666666,558706.40540540544,27459.306306306305,6947.7837837837842,759939.14414414414,113141.87387387388,213156.62162162163,11032.279279279279,38194.666666666664,28931.126126126128,8119.2972972972975,0.40142823312733622,0.08409362016697694,1.8625772332285975
5,0.27700518901659538,0.03144786927377665,0.0,0.0,0.3341899471677805,0.34892738210094282,0.0,0.0,0.28486604349388983,0.53823958218120171,0.00094805595532242149,0.0,0.001773470446940633,0.0,0.0,0.0,0.0,0.0,0.00072544853926453034,0.00016690102352052676,0.0,0.0,1792.9220430107528,11084.069892473119,0.0,0.0,5176.6209677419356,2.163978494623656,7.311827956989247,0.0,0.0,4.588709677419355,0.0,6472.5215053763441,33166.975806451614,341.76075268817203,810.91935483870964,18172.12365591398,2282.5430107526881,4122.8924731182797,1280.0241935483871,669.73118279569894,6325.3413978494627,801.58602150537638,nan,0.081773468601799404,nan,3802.7477477477478,280225.17117117118,0.0,0.0,309078.26126126124,0.0,0.0,0.0,0.0,4.3243243243243246,0.0,120922.27027027027,803104.55855855858,27459.306306306305,6947.7837837837842,574239.18918918923,112529.90990990991,207922.66666666666,11032.279279279279,38194.666666666664,25909.513513513513,8119.2972972972975,0.46898113741531028,0.083525612234494714,1.6892786724073392
6,0.3066931586215178,0.29582940498268023,0.0,0.0,0.3367902061398757,0.31915396146378472,0.0,0.0,0.364728063871886,0.52265444659916971,0.00040002604820779029,0.0,0.00096874085111143377,0.00029877416868068283,0.0,0.0,0.0,0.0,0.00078780466122866874,0.00012180077221689586,0.0,0.0,2197.1102150537636,11490.362903225807,0.0,0.0,7415.416666666667,1.1559139784946237,5.470430107526882,0.0,0.0,3.454301075268817,0.0,7163.8709677419356,34117.271505376346,230.56451612903226,729.75806451612902,20331.357526881722,2889.5967741935483,5646.9489247311831,784.44892473118284,705.95430107526886,4384.7177419354839,788.77688172043008,nan,0.091851636381257026,nan,49969.549549549549,200048.27927927929,0.0,0.0,358853.34234234237,0.0,62.171171171171174,0.0,0.0,3.1531531531531534,0.0,168913.39639639639,626808.07207207207,27459.306306306305,6947.7837837837842,686597.70270270272,112507.64864864865,208087.5045045045,11032.279279279279,38194.666666666664,25887.792792792792,8119.2972972972975,0.48181089570930413,0.10345985345332109,1.5967284580608745
7,0.26445712093256823,0.12752537574378961,0.0,0.0,0.32113830057328774,0.35079208295801695,0.0,0.0,0.34442229717162448,0.60799647489955633,0.00033935074929857407,0.00023709978648263344,0.0020445340206585142,5.630688186175153e-05,0.0,0.0,0.0,0.0,0.0007543009660854682,0.00017968141793517716,0.0,0.0,1889.9193548387098,8262.5,0.0,0.0,5973.4677419354839,0.75268817204301075,8.508064516129032,0.0,0.0,3.8440860215053765,0.0,7146.4112903225805,25728.790322580644,152.72849462365591,820.30913978494618,17343.440860215054,2218.0241935483873,4161.3709677419356,753.21236559139788,759.24731182795699,5096.2231182795695,570.68548387096769,nan,0.084832354946683911,nan,16681.774774774774,255069.45945945947,0.0,0.0,363337.75675675675,26.792792792792792,11.711711711711711,0.0,0.0,4.6846846846846848,0.0,130811.41441441441,727124.33333333337,27459.306306306305,6947.7837837837842,597598.45945945941,113002.18018018018,207997.87387387388,11032.279279279279,38194.666666666664,26072.171171171172,8119.2972972972975,0.50244917740692963,0.098798820153422048,1.4789404600590199
8,0.40355492937176635,0.059565676772323564,0.0,0.0,0.37466734884094216,0.2941445842987902,0.0,0.0,0.43160452617053729,0.43295640753722203,0.0015662134585184377,3.2795917564181611e-05,0.0028079656156663291,5.109933728489994e-05,0.0,0.0,0.0,0.0,0.001243108678128733,7.6977957361909412e-05,0.0,0.0,2525.510752688172,11043.56182795699,0.0,0.0,8126.4112903225805,5.013440860215054,17.096774193548388,0.0,0.0,5.161290322580645,0.0,6258.1586021505373,29475.645161290322,245.33602150537635,848.44086021505382,18828.37365591398,3200.994623655914,6088.6693548387093,982.82258064516134,1245.9677419354839,4151.9220430107525,809.05913978494618,nan,0.11049491746686903,nan,7299.9459459459458,190020.00900900902,0.0,0.0,340039.15315315314,3.6936936936936937,10.63063063063063,0.0,0.0,1.9819819819819819,0.0,122552.89189189189,646008.86486486485,27459.306306306305,6947.7837837837842,785388.89189189184,112626.63063063064,208038.52252252251,11032.279279279279,38194.666666666664,25747.396396396398,8119.2972972972975,0.42509313397579362,0.071529776529140623,1.7570568784937128
9,0.386438255033557,0.44528814173816877,0.0,0.0,0.36928418817469477,0.35277938983960028,0.0,0.0,0.40957876072524424,0.55079862142187774,0.001221676242238364,0.00047680194375307369,0.0030665626663590405,0.00018814174174963861,0.0,0.0,0.0,0.0,0.0011194259907209025,0.0012114235884020056,0.0,0.0,3095.6612903225805,11699.75,0.0,0.0,7384.9946236559135,4.360215053763441,15.577956989247312,0.0,0.0,4.685483870967742,0.0,8010.7526881720432,31682.239247311827,419.67741935483872,855.52688172043008,18030.706989247312,3569.0430107526881,5079.9408602150534,878.97849462365593,1419.7715053763441,4185.6129032258068,830.26881720430106,nan,0.10642807898480132,nan,71877.657657657663,215759.63963963964,0.0,0.0,365556.35135135136,54.162162162162161,39.189189189189186,0.0,0.0,31.288288288288289,0.0,161418.3063063063,611599.33333333337,27459.306306306305,6947.7837837837842,663684.21621621621,113594.67567567568,208296.09009009009,11032.279279279279,38194.666666666664,25827.702702702703,8119.2972972972975,0.51679967222987,0.12279477457032285,1.4339203544565149
