epoch,avg_iou,avg_recall,loss,val_avg_iou,val_avg_recall,val_loss
0,0.51288331705766022,0.5261722825807752,4.854178546488578,0.43448892516909904,0.33018867952643699,2.591958707233645
1,0.56833957089397791,0.67016602424678728,2.4741179545663545,0.4523943493951042,0.37735850631066087,2.5670202543150702
2,0.58438882202281106,0.71331325628780107,2.2810372770199434,0.44411239927669743,0.34905660883435663,2.4207503210823491
3,0.59734687430787747,0.74654998158710184,2.2062615771926284,0.4599414085442165,0.41509435199341682,2.4631638571901142
4,0.60675539653223098,0.76922881527601272,2.1629026406912693,0.48307752159406553,0.38679247532250749,2.5483056914131597
5,0.61597200100513239,0.79398887496738224,2.1270284042132732,0.49101679055195935,0.4339622619017115,2.5527037764495275
6,0.6264506631080422,0.81672209036338306,2.1133785682418158,0.47606051642939728,0.40566038972926588,2.5771539526165657
7,0.62858123346728845,0.8236476027392845,2.0664809057943567,0.49298252587048513,0.44339624890741314,2.5797062235058479
8,0.63432514334241374,0.83332584709686885,2.0191408176525854,0.48825257566739927,0.54716981919306629,2.6653595915380515
9,0.63933818725665836,0.84367784760641085,1.990523930047738,0.48258215413903288,0.42452831425756776,2.5861750008924953
