epoch,0_jacc,0_val_jacc,10_jacc,10_val_jacc,11_jacc,11_val_jacc,12_jacc,12_val_jacc,13_jacc,13_val_jacc,14_jacc,14_val_jacc,15_jacc,15_val_jacc,16_jacc,16_val_jacc,17_jacc,17_val_jacc,18_jacc,18_val_jacc,1_jacc,1_val_jacc,2_jacc,2_val_jacc,3_jacc,3_val_jacc,4_jacc,4_val_jacc,5_jacc,5_val_jacc,6_jacc,6_val_jacc,7_jacc,7_val_jacc,8_jacc,8_val_jacc,9_jacc,9_val_jacc,I0,I1,I10,I11,I12,I13,I14,I15,I16,I17,I18,I2,I3,I4,I5,I6,I7,I8,I9,U0,U1,U10,U11,U12,U13,U14,U15,U16,U17,U18,U2,U3,U4,U5,U6,U7,U8,U9,acc,jaccard,loss,val_I0,val_I1,val_I10,val_I11,val_I12,val_I13,val_I14,val_I15,val_I16,val_I17,val_I18,val_I2,val_I3,val_I4,val_I5,val_I6,val_I7,val_I8,val_I9,val_U0,val_U1,val_U10,val_U11,val_U12,val_U13,val_U14,val_U15,val_U16,val_U17,val_U18,val_U2,val_U3,val_U4,val_U5,val_U6,val_U7,val_U8,val_U9,val_acc,val_jaccard,val_loss
0,0.6442790400909677,0.80197450984136742,0.14906790967210631,0.55536602202430674,0.0012157876789651544,0.0,0.00050116547074316052,0.0,0.050959709198715099,0.13397605289284989,0.00083708928145224612,0.0,0.00034187217289174233,0.0,0.00098231827111984276,0.0,0.00043861293345829428,0.0,0.00071906354515050171,0.0,0.0023147144056582304,8.634022675875857e-05,0.30356424778795443,0.17845370942167876,0.00063731201157588425,0.0,0.00058479848818761195,0.0,0.0013440839085645654,0.0,0.00079390887989324839,0.0,0.00062865143583313188,0.0,0.16992600929541116,0.35647590338260532,0.0012242662222548759,0.0,92301.628571428577,26.188235294117646,1682.9596638655462,4.3983193277310928,0.32268907563025212,965.12773109243699,0.8134453781512605,0.31260504201680672,0.77983193277310925,0.19663865546218487,0.86722689075630255,25212.468907563027,1.0067226890756302,1.0890756302521007,4.3109243697478989,0.59495798319327731,0.93949579831932772,8862.389915966387,2.8285714285714287,143263.43529411763,11313.808403361345,11289.885714285714,3617.670588235294,643.87731092436979,18939.035294117646,971.75462184873948,914.39159663865541,793.86890756302523,448.31932773109241,1206.0504201680671,83054.803361344544,1579.6386554621849,1862.3092436974789,3207.3327731092436,749.40336134453787,1494.4621848739496,52154.405042016806,2310.421848739496,0.55056478532672926,0.070018976881626505,1.4256153166794978,404821.88,5.2999999999999998,27563.16,0.0,0.0,16859.860000000001,0.0,0.0,0.0,0.0,0.0,61268.379999999997,0.0,0.0,0.0,0.0,0.0,152824.92000000001,0.0,504781.47999999998,61385.059999999998,49630.620000000003,14706.860000000001,2439.4200000000001,125842.34,3412.3400000000001,4410.1000000000004,1275.1800000000001,900.86000000000001,8043.8000000000002,343329.26000000001,8323.9799999999996,9316.2000000000007,16749.259999999998,2251.54,7546.8000000000002,428710.38,9450.8199999999997,0.58341337025165563,0.10664908093629301,1.1421549749374389
1,0.83143567767985604,0.8154901202424546,0.55439128947783634,0.61674945483316934,4.4777188708984093e-06,0.0,0.0,0.0,0.24006876484184378,0.22138056093652245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010308807713663576,0.00036870084531095835,0.44898327176783981,0.57563197728519522,0.0,0.0,4.1705330983933025e-06,0.0,5.8769772355286783e-07,0.0,0.0,0.0,0.0,0.0,0.42391650406769388,0.59381367992727419,2.933215202478341e-05,4.2321951549829867e-05,96793.347899159664,11.423529411764706,6271.425210084034,0.015126050420168067,0.0,6674.6201680672266,0.0,0.0,0.0,0.0,0.0,32114.35630252101,0.0,0.0067226890756302525,0.0016806722689075631,0.0,0.0,21612.880672268908,0.065546218487394961,116417.12100840337,11081.329411764706,11312.272268907564,3378.0705882352941,411.73781512605041,27802.9512605042,683.92941176470583,637.6672268907563,557.48907563025205,205.92436974789916,1015.9210084033614,71526.843697478995,1278.9025210084033,1611.9495798319329,2859.7563025210084,481.46722689075631,1282.8319327731092,50983.815126050424,2234.620168067227,0.69680867816219816,0.13157183982674495,0.96615212775078141,419802.0,22.66,31959.34,0.0,0.0,26467.639999999999,0.0,0.0,0.0,0.0,0.0,224255.88,0.0,0.0,0.0,0.0,0.0,125677.34,0.40000000000000002,514784.90000000002,61459.040000000001,51819.0,14706.879999999999,2439.4200000000001,119557.2,3412.3400000000001,4410.1000000000004,1275.1800000000001,900.86000000000001,8043.8199999999997,389582.03999999998,8323.9799999999996,9316.2000000000007,16749.259999999998,2241.7600000000002,7546.8000000000002,211644.39999999999,9451.3600000000006,0.72968762397766118,0.14860404294849877,0.91061139106750488
2,0.86249046748809743,0.85531618748601013,0.66016185490489554,0.68418665228268183,0.0,0.0,0.0,0.0,0.30013125587731898,0.2963676623604638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092346575805782611,0.010258699022547127,0.58520877004093752,0.62297540472181478,0.0,0.0,9.4342559721198869e-06,0.0,1.7714007351313053e-06,0.0,0.0,0.0,0.0,0.0,0.62193602855596342,0.68062516738197421,0.0027116873648846828,0.013205466214299971,97245.72773109244,103.38655462184875,7240.801680672269,0.0,0.0,8660.3025210084033,0.0,0.0,0.0,0.0,0.0,37148.771428571432,0.0,0.01680672268907563,0.0050420168067226894,0.0,0.0,28634.50756302521,5.9512605042016808,112749.91596638656,11195.494117647058,10968.221848739497,3304.2487394957984,404.32436974789914,28855.050420168067,710.09075630252096,664.11428571428576,590.07731092436973,203.1983193277311,939.2067226890756,63479.51932773109,1250.3596638655463,1781.4571428571428,2846.3445378151259,472.65546218487395,1302.6924369747899,46040.921008403362,2194.670588235294,0.76327927152649699,0.16009925934049385,0.82309023858118457,413905.02000000002,639.46000000000004,29985.52,0.0,0.0,41761.599999999999,0.0,0.0,0.0,0.0,0.0,227408.39999999999,0.0,0.0,0.0,0.0,0.0,148674.06,125.72,483920.47999999998,62333.440000000002,43826.519999999997,14706.879999999999,2439.4200000000001,140911.45999999999,3412.3400000000001,4410.1000000000004,1275.1800000000001,900.86000000000001,8043.8599999999997,365035.91999999998,8323.9799999999996,9316.2000000000007,16749.259999999998,2239.0999999999999,7547.2200000000003,218437.5,9520.2999999999993,0.76005236029624934,0.166470275761568,0.81427879214286802
3,0.87648538247081287,0.86696328206276896,0.72215161511437198,0.70830806030583393,0.0,0.0,0.0,0.0,0.34995027156034381,0.34214081763578102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032288957940692323,0.040067975629077809,0.62441018871489817,0.62683524804472701,0.0,0.0,9.8525759067079293e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66929529619874761,0.6395582255159421,0.077557472748876366,0.05691804220482781,97477.600000000006,363.95462184873952,7404.8504201680671,0.0,0.0,10011.193277310924,0.0,0.0,0.0,0.0,0.0,38642.682352941178,0.0,0.0016806722689075631,0.0,0.0,0.0,29861.86386554622,189.23697478991596,111214.17647058824,11271.79831932773,10253.872268907564,3274.4974789915968,406.21176470588233,28607.473949579831,697.92773109243694,686.39831932773109,634.30252100840335,219.3798319327731,966.5613445378151,61886.694117647057,1282.3226890756303,1705.8201680672269,2862.6268907563026,478.74621848739497,1261.4991596638656,44616.873949579829,2439.9579831932774,0.78473943602137208,0.17642843000033337,0.75048779169050583,412437.97999999998,2550.1799999999998,31459.459999999999,0.0,0.0,53833.099999999999,0.0,0.0,0.0,0.0,0.0,228459.95999999999,0.0,0.0,0.0,0.0,0.0,133347.34,554.82000000000005,475727.15999999997,63646.339999999997,44414.940000000002,14706.860000000001,2439.4200000000001,157341.94,3412.3400000000001,4410.1000000000004,1275.1800000000001,900.86000000000001,8043.8800000000001,364465.71999999997,8323.9799999999996,9316.2000000000007,16749.259999999998,2239.1399999999999,7546.8000000000002,208499.14000000001,9747.7000000000007,0.75997015476226804,0.1726732448104715,0.83422033905982973
4,0.88762670352227901,0.88035350436015947,0.75031266379560613,0.64694735107522461,0.0,0.0,0.0,0.0,0.40549037043176195,0.41413467989285968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10715391381355445,0.18517689534746398,0.64853265008042438,0.60640228107168759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70026201454736614,0.6684806223748333,0.21083900305763306,0.21640347010954278,97602.784873949582,1318.1613445378152,7571.2890756302522,0.0,0.0,10558.112605042017,0.0,0.0,0.0,0.0,0.0,39531.993277310925,0.0,0.0,0.0,0.0,0.0,30869.289075630251,630.5613445378151,109959.27058823529,12301.569747899159,10090.84537815126,3196.6840336134455,425.7294117647059,26037.887394957983,818.07731092436973,753.54789915966387,568.85882352941178,243.13949579831933,982.71260504201678,60956.057142857142,1340.1159663865546,1736.2857142857142,2852.2621848739495,481.68067226890759,1326.0470588235294,44082.484033613444,2990.7243697478993,0.80151271469452801,0.19527459574992764,0.69207114657434099,412067.09999999998,13171.040000000001,35962.160000000003,0.0,0.0,49358.940000000002,0.0,0.0,0.0,0.0,0.0,226649.62,0.0,0.0,0.0,0.0,0.0,139413.92000000001,2415.6599999999999,468070.03999999998,71126.800000000003,55587.459999999999,14706.879999999999,2439.4200000000001,119185.72,3412.3600000000001,4410.1000000000004,1275.1800000000001,900.86000000000001,8043.8000000000002,373761.15999999997,8324.0200000000004,9316.2000000000007,16749.259999999998,2239.0999999999999,7546.8199999999997,208553.42000000001,11162.76,0.77414213895797734,0.19041572653851427,0.76277587831020355
5,0.90090631696960877,0.88588663773977827,0.77811535607215399,0.74546122112836977,9.9484768384536477e-07,0.0,0.0,0.0,0.48509533400082527,0.48004665567174315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26338252813417834,0.30810567680786893,0.67064077077950146,0.64678775057478533,0.0,0.0,1.0254906203500411e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71284256498081255,0.72141507847260933,0.26884988894236211,0.23933944479967664,96451.489075630248,3667.0554621848742,7898.0957983193275,0.0033613445378151263,0.0,11302.183193277311,0.0,0.0,0.0,0.0,0.0,41128.198319327734,0.0,0.0016806722689075631,0.0,0.0,0.0,30831.685714285715,834.67226890756308,107060.50924369748,13922.926050420168,10150.289075630251,3378.7529411764708,425.66050420168068,23298.89075630252,621.38655462184875,628.19495798319326,600.59663865546213,223.65882352941176,1004.2806722689076,61326.719327731094,1315.8537815126051,1638.8957983193277,2804.163025210084,474.7596638655462,1297.2857142857142,43251.746218487395,3104.6033613445379,0.8196704088138933,0.21472814632724982,0.63496456957664815,407051.47999999998,21851.439999999999,33419.279999999999,0.0,0.0,57405.160000000003,0.0,0.0,0.0,0.0,0.0,229937.34,0.0,0.0,0.0,0.0,0.0,155700.78,2889.6599999999999,459484.84000000003,70921.899999999994,44830.339999999997,14708.82,2439.48,119582.46000000001,3412.3400000000001,4410.1000000000004,1275.1800000000001,901.5,8044.1599999999999,355506.64000000001,8323.9799999999996,9316.2999999999993,16749.259999999998,2240.1599999999999,7546.8199999999997,215826.89999999999,12073.48,0.80005519390106206,0.21194960343130695,0.71559684574604032
6,0.91334026283319691,0.90611216771857006,0.79627202297566835,0.75139619544409397,7.7657722077132277e-05,8.0218411621064528e-05,0.0,0.0,0.55805673717398896,0.54113604211719413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37808721815587326,0.42090787036791361,0.68495649342527365,0.67672559458046455,1.2593173744240196e-05,0.0,1.1974876708665222e-05,1.7169297861563954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.73035225267575143,0.74050809926932304,0.30602376788041513,0.15412295083429522,96083.73949579832,5728.4420168067227,7930.0302521008407,0.25882352941176473,0.0,12063.24705882353,0.0,0.0,0.0,0.0,0.0,40919.717647058824,0.01680672268907563,0.020168067226890758,0.0,0.0,0.0,31958.460504201681,950.71092436974789,105200.37647058823,15151.112605042017,9958.9462184873955,3332.875630252101,418.49411764705883,21616.524369747898,636.34789915966383,556.146218487395,617.7932773109244,244.84537815126049,994.25042016806719,59740.608403361344,1334.5899159663866,1684.198319327731,2899.6873949579831,473.10252100840336,1280.5193277310925,43757.598319327728,3106.6571428571428,0.83466018468392,0.22985215688908936,0.58455667155129565,409869.59999999998,31726.52,35522.18,1.1799999999999999,0.0,61186.879999999997,0.0,0.0,0.0,0.0,0.0,225199.62,0.0,0.16,0.0,0.0,0.0,165584.32000000001,1727.8199999999999,452338.70000000001,75376.399999999994,47274.900000000001,14709.84,2439.4200000000001,113071.16,3412.3600000000001,4410.1000000000004,1275.2,900.96000000000004,8044.0799999999999,332778.34000000003,8325.1599999999999,9318.9599999999991,16749.259999999998,2240.1599999999999,7546.8000000000002,223609.06,11210.66,0.81996666550636288,0.22057927937059668,0.63873814105987547
7,0.91901265563231538,0.90640630414585954,0.79979218974411059,0.77406785911203058,0.0034861459229891503,0.010108771340072514,0.0,0.0,0.58752072529995303,0.58019905836842478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032547947303654943,0.00029806185280215395,0.4227848561336307,0.43213215496282481,0.70157972796676793,0.69072990807461598,0.00013677627439665383,0.00098180906083155176,0.00034977122521606511,0.00018138325000373434,1.190534299888447e-06,3.5820724438331036e-06,0.0,8.9305648582272825e-06,0.0,0.0,0.7461912397794298,0.74946472920227225,0.32435760916448381,0.26392743225852633,96765.117647058825,6295.1613445378152,7915.9613445378154,11.62016806722689,0.0,12697.043697478992,0.0,0.0,0.0,0.0,0.31428571428571428,41632.092436974788,0.17647058823529413,0.57815126050420174,0.0033613445378151263,0.0,0.0,32195.332773109243,951.69411764705887,105292.4756302521,14889.751260504201,9897.5226890756294,3333.2420168067229,398.08571428571429,21611.226890756301,577.35798319327728,631.43193277310922,544.98823529411766,236.26218487394959,965.60840336134459,59340.500840336135,1290.2134453781512,1652.9411764705883,2823.3915966386553,462.35966386554622,1297.0554621848739,43146.221848739493,2934.089075630252,0.84472892685096801,0.23713359827108577,0.54336032912510779,414526.35999999999,32285.060000000001,34929.099999999999,151.56,0.0,57414.120000000003,0.0,0.0,0.0,0.0,2.3999999999999999,223321.42000000001,8.2200000000000006,1.7,0.059999999999999998,0.02,0.0,174382.92000000001,3539.8000000000002,457329.52000000002,74711.080000000002,45124.080000000002,14992.92,2439.48,98955.899999999994,3412.8200000000002,4410.3599999999997,1275.4200000000001,900.88,8052.0200000000004,323312.21999999997,8372.2999999999993,9372.4200000000001,16750.080000000002,2239.5,7547.4200000000001,232676.62,13412.02,0.82858841538429262,0.23202684127713502,0.64615376889705656
8,0.92402865648170029,0.91124074317903614,0.81393335504675568,0.8072402358229902,0.054130330334910715,0.059934358653766319,4.1339567340088224e-06,0.0,0.61719733648576558,0.58454932982351404,0.0,0.00050960637300843481,0.0,0.0,0.0,0.0,0.0,0.0,0.00772006211619945,0.0028197158081705153,0.44979765232024121,0.45368178822969124,0.70948934686919318,0.66424826916502855,0.0038021836170538084,0.00070835596801868531,0.0021329482689594324,0.001417217352948384,1.4402658730801706e-05,6.8054013395895256e-05,0.0,8.9295281637318276e-06,0.0,0.0,0.7502329182936105,0.73799191051234336,0.33470260954401432,0.27312905833036522,96856.435294117648,6634.3142857142857,8131.2571428571428,190.8655462184874,0.0016806722689075631,12975.082352941177,0.0,0.0,0.0,0.0,7.8789915966386559,41686.472268907564,4.7226890756302522,3.6890756302521011,0.040336134453781515,0.0,0.0,32086.976470588233,977.88739495798325,104819.73109243698,14749.552941176471,9990.0773109243692,3526.0369747899158,406.5529411764706,21022.583193277311,684.28067226890755,688.62352941176471,675.36134453781517,222.68403361344537,1020.5865546218488,58755.599999999999,1242.0991596638655,1729.5663865546219,2800.6033613445379,498.52100840336135,1303.4470588235295,42769.352941176468,2921.6605042016809,0.85010507096763421,0.24564136505230891,0.52227802749942331,405417.44,35361.120000000003,34211.599999999999,981.72000000000003,0.0,59299.559999999998,1.74,0.0,0.0,0.0,22.859999999999999,233831.16,5.9199999999999999,13.880000000000001,1.1399999999999999,0.02,0.0,161999.94,3190.0599999999999,444907.06,77942.559999999998,42380.940000000002,16379.92,2439.4200000000001,101444.92,3414.4000000000001,4410.1800000000003,1276.8,900.88,8107.1999999999998,352023.73999999999,8357.3799999999992,9793.8400000000001,16751.400000000001,2239.7600000000002,7547.04,219514.51999999999,11679.68,0.82307856082916264,0.23671303014528636,0.62668611943721775
9,0.92806449467688623,0.91069567104593829,0.82620293432328218,0.78668006702529214,0.14847392245521612,0.16510112952547512,4.5058145488655589e-05,0.00040927582735108495,0.64748296240346026,0.62211703436552923,0.0,0.0,0.0,0.0,0.0,0.0,2.2404779686333086e-05,2.2166559528295615e-05,0.021744382319642892,0.004714524437774449,0.47385896566251517,0.46053875593379695,0.71904800271147384,0.70201721665723338,0.0070664551813892952,0.011788653136110336,0.0063851221650144188,0.00094326454129003057,6.2218996913472556e-05,0.00012535651991198778,3.4942920738972888e-06,1.7859694242034577e-05,6.2140000152179591e-05,0.00034642795752951912,0.76293238601212809,0.76470547196850736,0.37489966133310904,0.27043509188703113,96257.838655462183,7039.7411764705885,8177.4067226890757,593.32100840336136,0.018487394957983194,13188.223529411765,0.0,0.0,0.0,0.0050420168067226894,23.14453781512605,41863.021848739496,9.344537815126051,11.152941176470588,0.17983193277310924,0.0016806722689075631,0.082352941176470587,32604.487394957981,1153.870588235294,103718.91092436975,14856.194957983193,9897.5764705882357,3996.1294117647058,410.30084033613446,20368.448739495798,565.97478991596643,655.13613445378155,630.17815126050425,225.0420168067227,1064.3915966386555,58220.065546218488,1322.3798319327732,1746.70756302521,2890.3058823529414,480.97647058823532,1325.2806722689077,42735.749579831936,3077.8117647058825,0.85643231648356977,0.2587555055504438,0.49989328264188365,414417.41999999998,33522.919999999998,35708.839999999997,3190.8600000000001,1.0,62547.459999999999,0.0,0.0,0.0,0.02,38.200000000000003,228169.72,103.31999999999999,8.9199999999999999,2.1000000000000001,0.040000000000000001,2.6200000000000001,168801.04000000001,3223.9000000000001,455055.88,72790.660000000003,45391.82,19326.700000000001,2443.3400000000001,100539.7,3415.48,4410.1000000000004,1275.96,902.25999999999999,8102.6199999999999,325020.12,8764.3600000000006,9456.5200000000004,16752.220000000001,2239.6799999999998,7562.8999999999996,220739.94,11921.16,0.8366249656677246,0.24740305089908113,0.57598186016082764
