epoch,avg_iou,avg_recall,loss,val_avg_iou,val_avg_recall,val_loss
0,0.29671149261949081,0.11160729330508222,10.924833114884226,0.30677155713121335,0.140210058279856,8.0677836678937052
1,0.31408853501490092,0.12033063962391162,7.9442837292978545,0.31896857706134668,0.14340050253801478,7.7071079817598687
2,0.32679976418018614,0.13697668578145636,7.4572866131927249,0.33682226444670776,0.16084498021298063,7.5188356692681531
3,0.33899110384300046,0.1609132269987355,6.9977175637535378,0.34217355375042457,0.15005386080927477,7.3899533125216852
4,0.34892964001857874,0.17182024161151402,6.6317500982955933,0.3435453049793929,0.14953822673794753,7.5637381586010113
5,0.36153513642620527,0.19005194798958358,6.4204610070128476,0.35392242194173817,0.17444397167055431,7.3698538058770158
6,0.36669874326920976,0.20057095245071127,6.2149127292830846,0.35050435813363201,0.15915866933777897,7.2781491955359296
7,0.37289522665686176,0.21077688329367336,6.0455120434229759,0.3552290778793023,0.17661977855269304,7.3032242419001108
8,0.37639645883764783,0.21100042015571641,5.9157935839834428,0.36528651121847644,0.19094668049179389,7.2508908917090134
9,0.37856797018431892,0.21821126703403418,5.8093253722016689,0.35773486006045768,0.19560957752064079,7.3386829208709043
10,0.38003531709246435,0.22182710067696224,5.641948058124731,0.36543130838942384,0.19753271442449497,7.2325949868756139
11,0.38208704147763017,0.22750280731036676,5.5163087254227658,0.37120727126945752,0.20224076087127427,7.2014985703184697
12,0.38216303012683955,0.23143964949216225,5.3952807627428596,0.36661206468374669,0.20363242139002521,7.1835651949732124
13,0.38246944365049235,0.22676178635450975,5.3175473740084653,0.36325294915549533,0.18506954848290441,7.3069568489364043
14,0.38456525751722753,0.23463667349539838,5.2243430308172654,0.3718815039017957,0.21329404928251178,7.2158786274953757
15,0.38345535178656459,0.23277927270159768,5.1573245960771388,0.36679015509382695,0.19075104344390822,7.3504133548089365
16,0.38561943978644664,0.2385628993046395,5.0859871636421561,0.3613494182537178,0.18117653883383897,7.3158052943185892
17,0.38688137535675837,0.24125947469403522,5.019807900930827,0.36418583203932481,0.18576735971930497,7.2088135587954953
18,0.38668950194105983,0.24125777380863964,4.9429455276512995,0.37086544517509473,0.19469077888125194,7.0699584565000855
19,0.38815825494605699,0.2482400545156116,4.8793230445748419,0.36325474473054775,0.17901102802948562,7.1350932378254965
