epoch,avg_iou,avg_recall,loss,val_avg_iou,val_avg_recall,val_loss
0,0.29970561280230223,0.11000723509981358,11.354012925883897,0.29236087643219799,0.13604537354495949,8.0645740474769454
1,0.32020294214396561,0.13202558139705867,7.679379290569651,0.31519451862323783,0.12680037060897506,7.6375574123359726
2,0.32785389158689754,0.14368760262874911,7.1283529071519967,0.32598952190604752,0.13380144719413656,7.350844407985786
3,0.34126584808567395,0.1582218193368492,6.7194903485029709,0.34160110860051746,0.16743814392004183,7.3879282108086075
4,0.35077439282041828,0.17447346335238115,6.3841507331829686,0.35274879750377403,0.17910132746020715,7.5078715592801215
5,0.35791912644342666,0.1878411161596015,6.112844226299611,0.35517021329579002,0.19105677821203143,7.4817473493412345
6,0.36388182225267462,0.19674529523423143,5.8882022747892924,0.35684710776734496,0.17185470797939453,7.3007168075043758
7,0.36913458438962954,0.20725021633303567,5.7018204086977073,0.35608829947526821,0.17975636287601646,7.2934111025994888
8,0.37382650380516974,0.21594736433301134,5.5214130865537241,0.36098515017779764,0.19100133685056797,7.2384522641728264
9,0.3761003822318309,0.21971443951342812,5.3513825203721623,0.35792413145720126,0.17878291308284996,7.306222356008198
