epoch,0_jacc,0_val_jacc,10_jacc,10_val_jacc,1_jacc,1_val_jacc,2_jacc,2_val_jacc,3_jacc,3_val_jacc,4_jacc,4_val_jacc,5_jacc,5_val_jacc,6_jacc,6_val_jacc,7_jacc,7_val_jacc,8_jacc,8_val_jacc,9_jacc,9_val_jacc,I0,I1,I10,I2,I3,I4,I5,I6,I7,I8,I9,U0,U1,U10,U2,U3,U4,U5,U6,U7,U8,U9,acc,jaccard,loss,val_I0,val_I1,val_I10,val_I2,val_I3,val_I4,val_I5,val_I6,val_I7,val_I8,val_I9,val_U0,val_U1,val_U10,val_U2,val_U3,val_U4,val_U5,val_U6,val_U7,val_U8,val_U9,val_acc,val_jaccard,val_loss
10,0.85992417774256391,0.88163782797701151,0.00041019298002044656,2.9153983469108291e-06,0.61559722464670252,0.52044253029632948,7.9469619757736865e-05,0.0,0.89000609806926889,0.80298557444844032,0.16325368923576575,0.26842216486343046,0.44383706916660914,0.11873093918876507,9.6994644048131517e-05,8.0034318715865368e-06,0.0051122315929974897,1.3260558230371984e-05,0.41611537818796385,0.2210877109543746,0.001147349543967849,0.0,44551.25,43133.424731182793,0.34946236559139787,0.21505376344086022,79730.43548387097,1654.489247311828,13763.911290322581,0.28225806451612906,11.57258064516129,10221.150537634408,1.9623655913978495,51808.346774193546,70067.607526881722,851.94623655913983,2706.1129032258063,89584.145161290318,10134.467741935483,31011.180107526881,2910.0376344086021,2263.7043010752686,24563.260752688173,1710.3467741935483,0.8027997994294731,0.30868907958451514,0.6267999297668857,115100.6936936937,300507.90090090089,0.090090090090090086,0.0,359846.94594594592,32326.963963963964,27674.423423423425,0.090090090090090086,0.5495495495495496,14925.774774774774,0.0,130553.26126126126,577408.42342342343,30901.468468468469,7275.531531531532,448136.25225225225,120433.28828828828,233085.1891891892,11256.432432432432,41442.414414414416,67510.648648648654,8082.3603603603606,0.67280062200786828,0.25575735701061819,0.95574680749360508
11,0.87472517954206963,0.85160994491174546,0.0011613156813349772,0.0,0.63741509875311275,0.50751349732806716,9.885014318293467e-05,8.2946054256199036e-05,0.89464750353035594,0.80456174718644835,0.23324091694782853,0.25015010956521028,0.51366887924151516,0.087550335259088841,8.9128375418903366e-05,0.0,0.0058604887722128324,3.5248671365421378e-05,0.42805730989835361,0.19229085279400179,0.0020040519883267626,9.61591164131111e-06,45118.846774193546,42010.204301075268,0.87365591397849462,0.2661290322580645,79156.629032258061,2414.3494623655915,16718.559139784946,0.28225806451612906,12.266129032258064,10413.306451612903,3.682795698924731,51580.596774193546,65907.137096774197,752.29838709677415,2692.2473118279568,88478.008064516136,10351.31182795699,32547.346774193549,3166.8709677419356,2093.0215053763441,24326.897849462366,1837.6747311827958,0.81697378171387536,0.32645170207942842,0.58121913527288749,116988.50450450451,303895.96396396396,0.0,0.63063063063063063,354326.33333333331,29748.387387387389,19040.333333333332,0.0,1.3873873873873874,14940.486486486487,0.090090090090090086,137373.34234234234,598793.85585585586,28272.909909909911,7602.9009009009005,440396.69369369367,118922.14414414414,217478.70270270269,12754.990990990991,39359.990990990991,77697.333333333328,9368.8558558558561,0.66377579682582133,0.24489129978925678,1.1019992774671263
12,0.87923517839111198,0.73534423744621991,0.0003229504755445752,0.0,0.65300682454542758,0.51945390904920163,0.00016833433178696795,0.0,0.89522058163724383,0.79302409321085654,0.24555800692220714,0.38875409292825258,0.49996436249074827,0.44351739016398317,0.00015957732980621843,2.3039085809075097e-05,0.0098897490391921025,0.00047514165438107255,0.4391243367626092,0.17258552572708422,0.0022017188183419433,0.0,46008.032258064515,44083.790322580644,0.26881720430107525,0.45698924731182794,79114.228494623661,2620.6854838709678,15556.529569892473,0.47043010752688175,27.607526881720432,10071.099462365592,4.0053763440860219,52327.333333333336,67508.927419354834,832.37903225806451,2714.7715053763441,88374.005376344081,10672.368279569893,31115.276881720431,2947.9758064516127,2791.5295698924733,22934.505376344085,1819.2043010752689,0.82008861950648726,0.32953196552218361,0.58345586478069267,117898.67567567568,242616.54054054053,0.0,0.0,351959.53153153154,50815.315315315318,99981.234234234231,0.27027027027027029,18.315315315315317,21041.855855855854,0.0,160331.27027027027,467060.76576576574,27924.62162162162,7412.9189189189192,443819.46846846846,130713.26126126126,225427.99099099098,11730.945945945947,38547.063063063062,121921.32432432432,8284.0900900900906,0.69942387159880215,0.27756158447870799,0.85492279991373288
13,0.87717367418779646,0.82360927914183346,2.0602584388185653e-05,0.00033417005622167869,0.67664429317518038,0.70445457830559088,0.00014345797027748728,0.0003756787970522545,0.89276146503991227,0.83049854161369296,0.270207110589955,0.46113794583136414,0.54720795702860836,0.70549046972278406,4.0764672791030323e-05,0.0,0.0110678474848758,0.00055453096560284542,0.47419708219663326,0.2649243268715829,0.0017146700695140492,0.00052474325062380192,44971.451612903227,45229.731182795702,0.013440860215053764,0.38978494623655913,77910.801075268813,3065.0188172043013,16981.997311827956,0.12096774193548387,22.411290322580644,11040.424731182795,3.131720430107527,51268.583333333336,66844.177419354834,652.38709677419354,2717.0672043010754,87269.448924731187,11343.220430107527,31033.90053763441,2967.4650537634407,2024.9005376344087,23282.354838709678,1826.4274193548388,0.82946327809364562,0.34101626590908474,0.54853139881805713,117063.0,275627.01801801805,9.2792792792792795,2.7927927927927927,344859.20720720722,64933.37837837838,186740.16216216216,0.0,21.54054054054054,18709.018018018018,4.4144144144144146,142134.14414414414,391263.00900900899,27768.135135135137,7433.9909909909911,415243.60360360361,140811.18018018018,264695.51351351349,11945.639639639639,38844.612612612611,70620.234234234231,8412.5225225225222,0.79749043084479665,0.34471856950512259,0.66854829508979041
14,0.88624054536016128,0.7816540931296132,0.0029372594092642256,0.00047915169974337016,0.6798191936344059,0.57794756223154331,8.3116659609899288e-05,6.2927434599517224e-05,0.9042144462647671,0.8494814359099373,0.34671011453521244,0.50468341918450699,0.57510630122413509,0.43432368306029889,1.9099150374295601e-05,0.0,0.01007240130467593,0.0002928541923848935,0.49734467589732101,0.29569127498187964,0.0026843845721889049,0.00035246393653085766,45470.801075268821,42914.946236559139,2.163978494623656,0.22849462365591397,78374.913978494616,3943.0483870967741,18793.387096774193,0.053763440860215055,25.725806451612904,11576.405913978495,4.9731182795698921,51307.516129032258,63127.0,736.73387096774195,2749.0833333333335,86677.352150537641,11372.752688172042,32678.110215053763,2814.9650537634407,2554.0887096774195,23276.424731182797,1852.6102150537633,0.83767478248124483,0.35502104891019237,0.52601423731414221,117311.92792792793,281766.63963963964,13.693693693693694,0.45045045045045046,349600.09009009012,68790.91891891892,107576.96396396396,0.0,11.171171171171171,17310.486486486487,2.9729729729729728,150081.63963963964,487529.76576576574,28579.036036036036,7158.2522522522522,411545.29729729728,136305.09009009009,247688.45945945947,11427.153153153153,38145.846846846849,58542.432432432433,8434.8288288288295,0.74506917569014408,0.31317898779645803,0.76270665939863735
15,0.87556101118084617,0.88712162559243157,0.00030233113215052905,0.0,0.69150321954739491,0.72018897825988593,0.00015448011647800785,2.5101787749323504e-05,0.90411711579546483,0.88589384376524705,0.32832580867527589,0.56084513554681836,0.56725608811598083,0.65737213062607502,0.0,0.0,0.012664802456514466,2.3534007817997393e-06,0.50729677769220338,0.18768154581181981,0.0019154004635591037,8.6331370014093594e-05,44739.075268817207,43854.940860215051,0.2553763440860215,0.43010752688172044,78974.462365591404,3751.4489247311826,18212.198924731183,0.0,37.231182795698928,11346.33064516129,3.1989247311827955,51097.610215053763,63419.720430107525,844.69086021505382,2784.2258064516127,87349.81451612903,11425.994623655914,32105.779569892475,3024.2419354838707,2939.7365591397847,22366.258064516129,1670.1075268817203,0.83711653274874531,0.35355427592507893,0.53939383741348024,115214.01801801802,299264.20720720722,0.0,0.18018018018018017,344852.98198198195,69061.459459459453,170168.29729729731,0.0,0.090090090090090086,18734.08108108108,0.72072072072072069,129873.98198198198,415535.66666666669,27922.819819819819,7177.9819819819822,389271.22522522521,123138.1981981982,258861.44144144145,11231.711711711712,38280.810810810814,99818.450450450444,8348.3063063063055,0.80497911277118028,0.3544742769237112,0.65162095561757816
16,0.88575593761496085,0.82482671200435098,0.00040166361767465981,2.7833289727846091e-05,0.70867211170853772,0.71712005407706414,7.4562022678784816e-05,0.00014936316975803167,0.91022716137031556,0.88343247706643446,0.34333314497123041,0.61386486359157277,0.57373164030452439,0.69584553279514016,1.8483007185269045e-05,0.0,0.014384259158946802,0.00033111939767140909,0.53263343986901168,0.26909168443952569,0.0021405570853150675,0.0013536602290074597,44375.362903225803,45557.392473118278,0.29569892473118281,0.20161290322580644,79227.672043010753,3887.1827956989246,17887.094086021505,0.053763440860215055,39.26075268817204,11562.196236559139,4.045698924731183,50098.860215053763,64285.572580645159,736.18548387096769,2703.9623655913979,87041.647849462359,11321.897849462366,31176.760752688173,2908.8037634408602,2729.4247311827958,21707.604838709678,1890.0215053763441,0.84548962020104934,0.36103390552094372,0.49803266225643056,116539.58823529411,276080.0,0.78431372549019607,1.0784313725490196,345938.9411764706,85333.450980392154,178153.78431372548,0.0,13.03921568627451,19747.098039215685,11.666666666666666,141289.78431372548,384984.35294117645,28178.980392156864,7220.1960784313724,391585.03921568627,139010.15686274509,256024.90196078431,11423.235294117647,39379.196078431371,73384.274509803916,8618.6078431372553,0.81600378541385421,0.36418575455093211,0.62649288247613344
17,0.87592186923247928,0.86215628310270442,0.00088159150919865474,9.2557369371470684e-06,0.69626270404505719,0.71626271038416256,7.5447142203716722e-05,0.0001024516684254203,0.91816942343149466,0.87701562087069318,0.38211639742026071,0.56236537839608924,0.58069134540457656,0.64318706201326814,4.1466108919857617e-06,0.0,0.025234837822799727,3.6450811793751278e-05,0.55322220553940593,0.21169876572144222,0.00469910565408519,0.00093432320388274004,44429.806451612902,43653.575268817207,0.55107526881720426,0.21505376344086022,79551.615591397844,4120.0241935483873,18630.045698924732,0.013440860215053764,66.322580645161295,12737.54569892473,8.3333333333333339,50723.481182795702,62696.989247311831,625.0913978494624,2850.3897849462364,86641.543010752692,10782.118279569893,32082.526881720431,3241.4086021505377,2628.2150537634407,23024.284946236559,1773.3870967741937,0.84628376476867229,0.36702537034658672,0.52397445356974037,117304.65765765766,270904.15315315314,0.27027027027027029,0.72072072072072069,342469.81981981982,71561.126126126124,192856.62162162163,0.0,1.4414414414414414,17805.08108108108,8.6576576576576585,136059.62162162163,378218.98198198195,29200.297297297297,7034.7387387387389,390494.54954954953,127250.23423423423,299845.30630630633,11146.783783783783,39544.83783783784,84105.738738738743,9266.2342342342345,0.80204166324288995,0.3521607547190363,0.66424068459519392
18,0.87991949522704693,0.82575026633385551,0.0010135935746732945,0.0,0.72540163506082811,0.67321112454559706,7.4101006588073485e-05,2.3751163807026544e-05,0.91618500017544124,0.88762508082656988,0.39474073916387536,0.61908896666861213,0.60076770630785892,0.67213696337336981,1.2660514219445537e-05,0.0,0.042028419216803739,0.0,0.56948900488281062,0.22398829327553599,0.004947923531245106,0.00011530235159146073,44321.854838709674,45740.75,0.95430107526881724,0.20161290322580644,79315.293010752692,4585.9408602150534,18336.045698924732,0.040322580645161289,106.69354838709677,12404.626344086022,8.577956989247312,50370.352150537634,63055.758064516129,941.50268817204301,2720.7849462365593,86571.263440860217,11617.602150537634,30521.024193548386,3184.9086021505377,2538.6048387096776,21782.029569892475,1733.6478494623657,0.85382676749460162,0.37587093442376279,0.479432132615838,118444.91891891892,282069.41441441444,0.0,0.18018018018018017,353719.3783783784,79032.657657657663,163959.15315315317,0.0,0.0,18271.441441441442,1.0810810810810811,143439.15315315317,418991.01801801805,28288.315315315314,7586.1621621621625,398500.8828828829,127659.61261261262,243937.11711711713,12760.963963963964,39353.135135135133,81573.198198198195,9376.0540540540533,0.80340747360710629,0.35472179532172171,0.66653228933746755
19,0.89782243226777447,0.85441856027943663,0.00036970303117569455,0.0,0.73023246719807478,0.80174355868287317,4.5442014474796344e-05,0.00025004432603961614,0.92689601041226677,0.90822455940362157,0.46567815913769922,0.68677324900509606,0.61013506879972523,0.71679248215982927,4.9827199272921507e-06,0.0,0.03905450630719183,0.00024193832692503991,0.57645970506900457,0.31601525156594307,0.0085570769058472673,0.011048331112486647,44400.833333333336,46383.102150537634,0.2553763440860215,0.12096774193548387,80339.725806451606,5668.8091397849466,18393.451612903227,0.013440860215053764,112.14784946236558,11674.069892473119,16.637096774193548,49453.913978494624,63518.268817204298,690.76075268817203,2662.0241935483873,86676.094086021505,12173.233870967742,30146.524193548386,2697.494623655914,2871.5725806451615,20251.319892473119,1944.25,0.86206386438620985,0.38684141398756022,0.45205776553641086,116673.22522522522,295626.21621621621,0.0,1.9819819819819819,355213.79279279278,89812.468468468462,201769.70270270269,0.0,9.4594594594594597,15426.27027027027,97.927927927927925,136552.77477477476,368729.14414414414,27999.396396396398,7926.5225225225222,391107.89189189189,130774.55855855856,281489.70270270272,11854.351351351352,39098.639639639638,48814.954954954956,8863.594594594595,0.84986600951031521,0.3905007249874774,0.5229730649037404
